   ONERA M6 WING  M=0.84  A=3.06 EXPERIMENTAL DATA
    7    .84       3.06 
SPAN STATION 1 PRESSURES ETA=.20
   11   23         .20
  LOWER SURFACE (PORT, X/C, Cp)
     1       .9503       .1010
     2       .8160      -.0790
     3       .6660      -.1710
     4       .5659      -.2290
     5       .4660      -.2630
     6       .3658      -.2150
     7       .2658      -.1640
     8       .1659      -.0920
     9       .0499      -.0460
    10       .0200      -.0340
    11       .0059       .5490
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0003       .8010
    13       .0022       .4440
    14       .0087      -.1680
    15       .0204      -.7070
    16       .0353     -1.0690
    17       .0604      -.6290 
    18       .0996      -.4650
    19       .1504      -.4420
    20       .2004      -.4550
    21       .2504      -.4590
    22       .3005      -.4620
    23       .3505      -.4800
    24       .4005      -.5050
    25       .4503      -.5470
    26       .5004      -.5760
    27       .5503      -.5800
    28       .6003      -.3970
    29       .6503      -.3070
    30       .7103      -.2380
    31       .7803      -.1600
    32       .8502      -.0580
    33       .9203      +.0590
    34       .9852      +.1760
SPAN STATION 2 PRESSURES ETA=.44
   11   23         .44
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9490       .1430
     2       .8170      -.0360
     3       .6670      -.1510
     4       .5670      -.2280
     5       .4670      -.2690
     6       .3670      -.2330
     7       .2670      -.1810
     8       .1670      -.1300
     9       .0490      -.0450
    10       .0190      -.0070
    11       .0050       .5650
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0003       .7810
    13       .0010       .3880
    14       .0080      -.2560
    15       .0190      -.8420
    16       .0340     -1.1270
    17       .0590     -1.0920
    18       .0991      -.8890
    19       .1490      -.4880
    20       .1990      -.5380
    21       .2510      -.5610
    22       .2990      -.5590
    23       .3490      -.5800
    24       .3993      -.6140
    25       .4490      -.6470
    26       .4990      -.7010
    27       .5490      -.3740
    28       .5993      -.2630
    29       .6492      -.2130
    30       .7090      -.1510
    31       .7790      -.0810
    32       .8490      +.0100
    33       .9190      +.1090
    34       .9840      +.2110
SPAN STATION 3 PRESSURES  ETA=.65 
   11   23         .65
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9500       .1570
     2       .8199      -.0160
     3       .6701      -.1430
     4       .5703      -.2130
     5       .4704      -.2790
     6       .3701      -.2700
     7       .2701      -.1960
     8       .1701      -.1210
     9       .0502      -.0090
    10       .0201      +.0260
    11       .0059       .5900
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0004       .7520
    13       .0022       .3250
    14       .0091      -.3240
    15       .0204      -.9180
    16       .0351     -1.1810
    17       .0602     -1.1420
    18       .1003     -1.0310
    19       .1500      -.9410
    20       .2003      -.5440
    21       .2502      -.5940
    22       .3001      -.6320
    23       .3500      -.6640
    24       .4004      -.6920
    25       .4501      -.7250
    26       .5000      -.3010
    27       .5500      -.2360
    28       .6007      -.2050
    29       .6503      -.1640
    30       .7103      -.1210
    31       .7801      -.0520
    32       .8500      +.0320
    33       .9201      +.1230
    34       .9860      +.2270
SPAN STATION 4 PRESSURES  ETA=.80 
   11   23         .80
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9500       .1620
     2       .8222      -.0050
     3       .6722      -.1310
     4       .5723      -.2050
     5       .4722      -.2850
     6       .3724      -.2830
     7       .2723      -.2300
     8       .1724      -.1430
     9       .0502      -.0270
    10       .0200      +.0250
    11       .0061       .5800
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0000       .7520
    13       .0021       .3040
    14       .0089      -.3240
    15       .0201      -.9760
    16       .0353     -1.2060
    17       .0601     -1.1610
    18       .1002     -1.0580
    19       .1502      -.9960
    20       .2002      -.9540
    21       .2502      -.6180
    22       .3002      -.6280
    23       .3502      -.6770
    24       .3998      -.3030
    25       .4501      -.2450
    26       .5002      -.2440
    27       .5503      -.2220
    28       .6002      -.1810
    29       .6502      -.1390
    30       .7098      -.0970
    31       .7801      -.0310
