#Table 3.  SKIN-FRICTION DISTRIBUTION FOR REARWARD FACING STEP with H = 12.7 mm,  Expansion Ratio = 9:1
#            Determined by laser oil-flow interferometer measurements
#
#Alpha = 0 degrees
#                    Uncertainty 
#    X/H      Cf      (dCf/Cf)
  -3.956   0.00288   0.07
  -1.804   0.00285   0.06
  -0.804   0.00311   0.10
   0.000   0.00000   0.00
   0.484   0.00009   0.15
   1.804  -0.00011   0.17
   2.804  -0.00052   0.21
   3.804  -0.00102   0.16
   4.804  -0.00082   0.15
   5.882  -0.00022   0.28
   7.090   0.00045   0.37
   7.978   0.00102   0.12
   9.196   0.00118   0.09
  11.196   0.00154   0.08
  13.196   0.00173   0.07
  16.196   0.00191   0.07
  20.196   0.00202   0.07
  24.136   0.00204   0.07
  28.130   0.00205   0.10
  32.196   0.00212   0.07
  35.994   0.00230   0.08
