# Sajben Diffuser
# Strong-Shock Case (Pexit/Ptin=0.72)
# Pressure profiles along upper and lower walls.
# xH = x/H*  where x measured from thoat
#                  H* is throat height
# Ptop,Pbot = P/Ptin
VARIABLES = "xH","Pbot","zH","Ptop"
ZONE T = "Sajben"
 -4.0350  0.86017  -4.0350  0.86453	
 -3.3860  0.85832  -3.3890  0.86384	
 -2.4870  0.84466  -2.7550  0.87244	
 -2.0170  0.81779  -2.2090  0.88115	
 -1.6950  0.78925  -1.7060  0.83090	
 -0.9370  0.67531  -1.0370  0.66588	
 -0.7610  0.64915  -0.7490  0.59699	
 -0.4550  0.58559  -0.4730  0.55834	
 -0.2880  0.56884  -0.2880  0.54330	
 -0.1100  0.56532  -0.1440  0.54508	
  0.0000  0.55126   0.0000  0.54043	
  0.1470  0.53647   0.1440  0.53573	
  0.4010  0.52799   0.2880  0.52434	
  0.5620  0.50151   0.4380  0.50580	
  0.7000  0.49852   0.5530  0.48147	
  0.8410  0.47122   0.6920  0.46319	
  0.9830  0.45405   0.8300  0.45295	
  1.1270  0.43916   0.9910  0.43316	
  1.2710  0.42499   1.1300  0.41817	
  1.4150  0.41041   1.2800  0.40506	
  1.5590  0.40245   1.4180  0.38850	
  1.7900  0.37732   1.5560  0.37769	
  2.0200  0.35788   1.7870  0.35200	
  2.2390  0.33533   2.0060  0.34714	
  2.4520  0.48238   2.2250  0.49682	
  2.8850  0.55953   2.4440  0.52137	
  3.3200  0.57370   2.8820  0.53745	
  3.9830  0.59293   3.3140  0.55328	
  4.3830  0.60431   3.9770  0.57845	
  5.0750  0.63574   4.4030  0.59600	
  5.7670  0.65697   5.1010  0.62331	
  6.3430  0.67609   5.7640  0.65214	
  6.9190  0.69454   6.3400  0.67350	
  7.4960  0.70287   6.9160  0.69371	
  8.0730  0.71162   7.4930  0.70504	
  8.6490  0.71852   8.0690  0.71503	
  8.6490  0.71852   8.6460  0.72268	
