# Sajben Diffuser
# P0/PATM = 1.195;   T0 = 300. K
# Weak-Shock Case (Pexit/Ptin=0.82)
# X measured from throat location
# H* is throat height
# Pbot,Ptop are P/Ptin
# Outflow at x/H*=8.649
VARIABLES = "xH","Pbot","zH","Ptop"
ZONE T = "Sajben"
#    BOTTOM WALL          TOP WALL
#   X/H*     P/P0      X/H*      P/P0
   -4.035   .86040    -4.035    .86358 
   -3.386   .85840    -3.389    .86323 
   -2.487   .84544    -2.755    .87110 
   -2.017   .81856    -2.029    .88016 
   -1.695   .78999    -1.706    .82975 
   -0.937   .67503    -1.037    .66436 
   -0.761   .64874    -0.749    .59615 
   -0.455   .58480    -0.473    .55702 
   -0.288   .56893    -0.288    .54251 
   -0.110   .56395    -0.144    .54397 
    0.000   .55086     0.000    .53958 
    0.147   .53661     0.144    .53467 
    0.401   .52723     0.288    .52326 
    0.562   .50163     0.438    .50449 
    0.700   .49769     0.553    .48068 
    0.841   .47210     0.692    .46266 
    0.983   .45553     0.830    .45219 
    1.127   .44105     0.991    .43329 
    1.271   .42924     1.130    .41878 
    1.415   .49445     1.280    .40884
    1.559   .57634     1.418    .50016
    1.790   .61770     1.556    .56901
    2.020   .64190     1.787    .60727
    2.239   .65916     2.006    .63078
    2.452   .67619     2.225    .65319
    2.885   .70596     2.444    .67167 
    3.320   .72967     2.882    .70519 
    3.983   .75893     3.314    .73280 
    4.383   .77172     3.977    .76504 
    5.075   .78969     4.403    .77972 
    5.767   .80117     5.101    .79741 
    6.343   .80757     5.764    .80906 
    6.919   .81294     6.340    .81371 
    7.496   .81486     6.916    .81536 
    8.073   .81695     7.493    .81687 
    8.649   .82192     8.069    .81817 
    8.649   .82192     8.646    .82121 
#  10.482   .83766    10.455    .83456 
#  11.845   .83712    11.896    .83581 
#  14.050   .83678    14.052    .83542
